ID;Cruise-ID;Vessel;Obs_Date_ISO;Obs_Date_Excel;Obs_Lat;Obs_Lon;Ice_Conc;RV;Total;no10-50;no50-200;no200-500;no500-1000;gt1000
1;787901;NellaDan;1978-12-13T18:30Z;13/12/1978 18:30;-58.72;111.50;x;x;1;0;0;0;0;0
2;787901;NellaDan;1978-12-13T21:30Z;13/12/1978 21:30;-58.88;110.67;x;x;2;0;0;0;0;0
3;787901;NellaDan;1978-12-13T23:30Z;13/12/1978 23:30;-59.03;110.00;x;x;4;0;0;0;0;0
4;787901;NellaDan;1978-12-14T01:30Z;14/12/1978 1:30;-59.17;109.30;x;x;5;0;0;0;0;0
5;787901;NellaDan;1978-12-14T03:40Z;14/12/1978 3:40;-59.22;109.00;x;x;4;0;0;0;0;0
6;787901;NellaDan;1978-12-14T05:30Z;14/12/1978 5:30;-59.40;108.00;x;x;1;0;0;0;0;0
7;787901;NellaDan;1978-12-15T00:00Z;15/12/1978 0:00;-60.12;101.98;x;x;22;0;0;0;0;0
8;787901;NellaDan;1978-12-15T14:00Z;15/12/1978 14:00;-61.10;98.92;x;x;8;0;0;0;0;0
9;787901;NellaDan;1978-12-16T03:00Z;16/12/1978 3:00;-61.13;93.00;x;x;3;0;0;0;0;0
10;787901;NellaDan;1978-12-17T12:00Z;17/12/1978 12:00;-64.28;92.12;x;x;50;0;0;0;0;0
11;787901;NellaDan;1979-01-16T10:00Z;16/1/1979 10:00;-60.15;93.22;x;x;5;0;0;0;0;0
12;787901;NellaDan;1979-01-16T12:00Z;16/1/1979 12:00;-59.90;94.00;x;x;3;0;0;0;0;0
13;787901;NellaDan;1979-01-16T14:00Z;16/1/1979 14:00;-59.68;94.68;x;x;12;0;0;0;0;0
14;787901;NellaDan;1979-01-16T16:00Z;16/1/1979 16:00;-59.45;95.32;x;x;10;0;0;0;0;0
15;787901;NellaDan;1979-01-16T18:00Z;16/1/1979 18:00;-59.28;95.22;x;x;3;0;0;0;0;0
16;787901;NellaDan;1979-01-16T20:00Z;16/1/1979 20:00;-59.10;96.42;x;x;7;0;0;0;0;0
