ID;Cruise-ID;Vessel;Obs_Date_ISO;Obs_Date_Excel;Obs_Lat;Obs_Lon;Ice_Conc;RV;Total;no25-100;no100-200;no200-400;no400-800;no800-1600;no1600-3200;gt3200
971;848501;IceBird;1984-11-11T17:00Z;11/11/1984 17:00;-60.67;54.70;x;x;1;0;0;1;0;0;0;0
972;848501;IceBird;1984-11-11T18:00Z;11/11/1984 18:00;-61.00;54.70;x;x;1;0;0;1;0;0;0;0
973;848501;IceBird;1984-11-12T00:00Z;12/11/1984 0:00;-61.67;55.00;x;x;1;0;0;1;0;0;0;0
974;848501;IceBird;1984-11-12T06:00Z;12/11/1984 6:00;-62.83;55.70;x;x;1;0;0;0;1;0;0;0
975;848501;IceBird;1984-11-12T12:00Z;12/11/1984 12:00;-63.50;56.67;x;x;0;0;0;0;0;0;0;0
976;848501;IceBird;1984-11-12T18:00Z;12/11/1984 18:00;-64.00;57.67;x;x;0;0;0;0;0;0;0;0
977;848501;IceBird;1984-11-14T00:00Z;14/11/1984 0:00;-66.90;62.17;x;x;60;0;20;20;20;0;0;0
978;848501;IceBird;1984-11-14T06:00Z;14/11/1984 6:00;-66.90;62.17;x;x;60;0;20;20;20;0;0;0
979;848501;IceBird;1984-11-14T09:00Z;14/11/1984 9:00;-66.90;62.17;x;x;60;0;20;20;20;0;0;0
980;848501;IceBird;1984-11-14T12:00Z;14/11/1984 12:00;-66.90;61.33;x;x;100;0;80;14;4;2;0;0
981;848501;IceBird;1984-11-14T18:00Z;14/11/1984 18:00;-66.80;60.17;x;x;80;0;80;0;0;0;0;0
982;848501;IceBird;1984-11-16T06:00Z;16/11/1984 6:00;-66.70;61.90;x;x;42;5;30;7;0;0;0;0
983;848501;IceBird;1984-11-16T12:00Z;16/11/1984 12:00;-66.90;64.33;x;x;50;7;35;3;4;1;0;0
984;848501;IceBird;1984-11-16T16:00Z;16/11/1984 16:00;-67.33;66.17;x;x;0;0;0;0;0;0;0;0
985;848501;IceBird;1984-11-16T18:00Z;16/11/1984 18:00;-67.50;66.17;x;x;120;0;0;0;0;0;0;0
986;848501;IceBird;1984-11-16T21:30Z;16/11/1984 21:30;-66.80;67.80;x;x;1;0;0;0;0;0;0;0
987;848501;IceBird;1984-11-17T00:00Z;17/11/1984 0:00;-66.80;68.17;x;x;39;0;14;4;21;0;0;0
988;848501;IceBird;1984-11-17T05:00Z;17/11/1984 5:00;-67.17;70.17;x;x;100;0;13;60;20;7;0;0
989;848501;IceBird;1984-11-17T12:00Z;17/11/1984 12:00;-67.17;72.00;x;x;10;1;4;4;1;0;0;0
990;848501;IceBird;1984-11-17T18:00Z;17/11/1984 18:00;-67.83;73.33;x;x;3;0;0;3;0;0;0;0
991;848501;IceBird;1984-11-18T00:00Z;18/11/1984 0:00;-67.33;73.00;x;x;0;0;0;0;0;0;0;0
992;848501;IceBird;1984-11-18T06:00Z;18/11/1984 6:00;-67.33;67.33;x;x;0;0;0;0;0;0;0;0
993;848501;IceBird;1984-11-18T12:00Z;18/11/1984 12:00;-67.90;75.67;x;x;3;1;1;1;0;0;0;0
994;848501;IceBird;1984-11-18T17:00Z;18/11/1984 17:00;-68.83;77.67;x;x;80;20;40;15;5;0;0;0
995;848501;IceBird;1984-11-19T00:00Z;19/11/1984 0:00;-69.00;77.80;x;x;80;20;40;15;5;0;0;0
996;848501;IceBird;1984-11-19T06:00Z;19/11/1984 6:00;-69.00;77.80;x;x;80;20;40;15;5;0;0;0
997;848501;IceBird;1984-11-19T12:00Z;19/11/1984 12:00;-68.33;77.83;x;x;40;0;10;13;15;2;0;0
998;848501;IceBird;1984-11-20T00:00Z;20/11/1984 0:00;-66.80;78.50;x;x;33;0;8;21;4;0;0;0
999;848501;IceBird;1984-11-20T06:00Z;20/11/1984 6:00;-67.00;79.33;x;x;28;0;0;18;10;0;0;0
1000;848501;IceBird;1984-11-20T12:00Z;20/11/1984 12:00;-67.33;77.50;x;x;3;0;2;1;0;0;0;0
1001;848501;IceBird;1984-11-21T00:00Z;21/11/1984 0:00;-66.17;77.90;x;x;5;0;2;2;1;0;0;0
1002;848501;IceBird;1984-11-21T06:00Z;21/11/1984 6:00;-66.00;78.67;x;x;2;0;0;2;0;0;0;0
1003;848501;IceBird;1984-11-21T12:00Z;21/11/1984 12:00;-65.00;79.90;x;x;5;0;0;3;2;0;0;0
1004;848501;IceBird;1984-11-22T00:00Z;22/11/1984 0:00;-63.70;82.33;x;x;12;4;2;5;1;0;0;0
1005;848501;IceBird;1984-11-22T06:00Z;22/11/1984 6:00;-63.33;84.17;x;x;13;4;2;5;1;1;0;0
1006;848501;IceBird;1984-11-22T12:00Z;22/11/1984 12:00;-62.90;85.83;x;x;40;15;17;8;0;0;0;0
1007;848501;IceBird;1984-11-23T00:00Z;23/11/1984 0:00;-63.00;88.50;x;x;32;20;6;6;0;0;0;0
1008;848501;IceBird;1984-11-23T06:00Z;23/11/1984 6:00;-63.50;89.00;x;x;24;16;1;4;3;0;0;0
1009;848501;IceBird;1984-11-23T12:00Z;23/11/1984 12:00;-64.17;89.80;x;x;50;10;12;27;1;0;0;0
1010;848501;IceBird;1984-11-24T00:00Z;24/11/1984 0:00;-65.33;91.17;x;x;34;30;4;0;0;0;0;0
1011;848501;IceBird;1984-11-24T06:00Z;24/11/1984 6:00;-65.33;90.80;x;x;45;40;4;1;0;0;0;0
1012;848501;IceBird;1984-11-24T12:00Z;24/11/1984 12:00;-66.17;92.00;x;x;54;10;15;23;6;0;0;0
1013;848501;IceBird;1984-11-26T06:00Z;26/11/1984 6:00;-64.80;94.33;x;x;83;10;10;43;20;0;0;0
1014;848501;IceBird;1984-11-26T12:00Z;26/11/1984 12:00;-64.80;93.67;x;x;56;20;5;16;13;2;0;0
1015;848501;IceBird;1984-11-27T00:00Z;27/11/1984 0:00;-65.17;93.70;x;x;46;25;11;8;2;0;0;0
1016;848501;IceBird;1984-11-27T06:00Z;27/11/1984 6:00;-65.33;93.80;x;x;46;25;11;8;2;0;0;0
1017;848501;IceBird;1984-11-27T12:00Z;27/11/1984 12:00;-65.83;93.90;x;x;38;20;11;5;2;0;0;0
1018;848501;IceBird;1984-11-29T06:00Z;29/11/1984 6:00;-66.17;93.33;x;x;37;0;0;0;0;0;0;0
1019;848501;IceBird;1984-11-30T00:00Z;30/11/1984 0:00;-66.17;94.67;x;x;11;0;0;0;0;0;0;0
1020;848501;IceBird;1984-11-30T12:00Z;30/11/1984 12:00;-66.00;91.70;x;x;29;0;0;0;0;0;0;0
1021;848501;IceBird;1984-12-01T00:00Z;1/12/1984 0:00;-65.70;91.00;x;x;25;20;3;1;1;0;0;0
1022;848501;IceBird;1984-12-01T12:00Z;1/12/1984 12:00;-65.17;90.70;x;x;46;22;11;7;3;3;0;0
1023;848501;IceBird;1984-12-02T00:00Z;2/12/1984 0:00;-65.00;90.33;x;x;20;0;0;0;0;0;0;0
1024;848501;IceBird;1984-12-02T12:00Z;2/12/1984 12:00;-64.17;91.00;x;x;25;14;6;5;0;0;0;0
1025;848501;IceBird;1984-12-02T15:00Z;2/12/1984 15:00;-64.00;92.00;x;x;1;0;1;0;0;0;0;0
1026;848501;IceBird;1984-12-03T00:00Z;3/12/1984 0:00;-63.50;93.00;x;x;12;1;7;4;0;0;0;0
1027;848501;IceBird;1984-12-03T06:00Z;3/12/1984 6:00;-63.00;95.70;x;x;6;1;0;5;0;0;0;0
1028;848501;IceBird;1984-12-03T12:00Z;3/12/1984 12:00;-62.90;98.83;x;x;23;5;15;1;2;0;0;0
1029;848501;IceBird;1984-12-03T18:00Z;3/12/1984 18:00;-63.00;101.83;x;x;43;34;8;1;0;0;0;0
1030;848501;IceBird;1984-12-04T00:00Z;4/12/1984 0:00;-63.00;103.70;x;x;21;19;2;0;0;0;0;0
1031;848501;IceBird;1984-12-04T06:00Z;4/12/1984 6:00;-62.80;105.70;x;x;79;49;21;7;2;0;0;0
1032;848501;IceBird;1984-12-04T12:00Z;4/12/1984 12:00;-63.00;106.83;x;x;65;36;23;4;2;0;0;0
